S.No,Substation,Owner,Nos of Reactor,Total MVAR,Rated Voltage,,50 MVAR,63 MVAR,80 MVAR,125 MVAR,,,
1,Alkud,MSETCL,1X125,125,420,,,,,1,125,,0
2,Amreli,GETCO,1X50  +  1X125,175,420,,1,,,1,175,,0
3,APL-Mundra,APL,2X80  +  1X125,285,420,,,,2,1,285,,0
4,Asoj,GETCO,1X50,50,420,,1,,,,50,,0
5,Astha,MPPTCL,1x50,50,420,,1,,,,50,,0
6,Aurangabad-PG,PGCIL,1X125,125,420,,,,,1,125,,0
7,Bableshwar,MSETCL,2X80,160,420,,,,2,,160,,0
8,Bachau,PGCIL,1X63  +  1X125,188,420,,,1,,1,188,,0
9,Betul,PGCIL,1x125,125,420,,,,,1,125,,0
10,Bhadrawati,PGCIL,1X50,50,420,,1,,,,50,,0
11,Bhatapara,PGCIL,1X125,125,420,,,,,1,125,,0
12,Bhopal-BDTCL,BDTCL,1X125,125,420,,,,,1,125,,0
13,Bhopal-MP,MPPTCL,1X125 + 1x80,205,420,80 added,,,1,1,205,,0
14,Bhusawal (Khadka),MSETCL,1X50,50,420,,1,,,,50,,0
15,Bina-MP,MPPTCL,1X50,50,420,,1,,,,50,,0
16,Bina-PG,PGCIL,1X125,125,420,,,,,1,125,,0
17,Birsingpur,MPPGCL,1X50,50,420,,1,,,,50,,0
18,CGPL,CGPL,1x63,63,420,,,1,,,63,,0
19,Champa,PGCIL,1x80,80,420,,,,1,,80,,0
20,Charnaka,GETCO,1x125,125,420,,,,,1,125,,0
21,Chhegaon,MPPTCL,1x50,50,420,,1,,,,50,,0
22,Chorania,GETCO,1X50  +  1X125,175,420,,1,,,1,175,,0
23,Damoh,PGCIL,1X63  +  1X125,188,420,,,1,,1,188,,0
24,Dehgam,PGCIL,1X63  +  1X125,188,420,,,1,,1,188,,0
25,DGEN,DGEN,1X125,125,420,,,,,1,125,,0
26,Dhariwal,DIL,1x80,80,420,,,,1,,80,,0
27,Dhule-MS,PGCIL,1X80,80,420,,,,1,,80,,0
28,EMCO,GMR,1X80,80,420,,,,1,,80,,0
29,Essar_Mahan,ESSAR,1X80,80,420,,,,1,,80,,0
30,Gandhar,NTPC,1X50,50,420,,1,,,,50,,0
31,GMR-CG,GMR,1x125,125,420,,,,,1,125,,0
32,Gwalior,PGCIL,3X125,375,420,,,,,3,375,,0
33,Hadala,GETCO,1X50  +  1X125,175,420,,1,,,1,175,,0
34,Indore-PG,PGCIL,1X125  +  1X63,188,420,,,1,,1,188,,0
35,Itarsi,PGCIL,2X125  +  1X50,300,420,,1,,,2,300,,0
36,Jabalpur,PGCIL,1X125  +  1X63,188,420,,,1,,1,188,,0
37,Jabalpur (PS),PGCIL,2X125,250,420,,,,,2,250,,0
38,Jaigad,JPTL,2x50,100,420,,2,,,,100,,0
39,Jetpur,GETCO,1X50  +  1X63,113,420,,1,1,,,113,,0
40,Jhabua Power,Jhabua,1x125,125,420,,,,,1,125,,0
41,JPL,JPL,1x125,125,420,,,,,1,125,,0
42,JP-Nigrie,JPVL,1X125,125,420,,,,,1,125,,0
43,Julwania,MPPTCL,1x50,50,420,,1,,,,50,,0
44,Kala,PGCIL,1X80,80,420,,,,1,,80,,0
45,Karad,MSETCL,1X80,80,420,,,,1,,80,,0
46,Kasor,GETCO,1X50  +  1X125,175,420,,1,,,1,175,,0
47,Khandwa,PGCIL,2X125,250,420,,,,,2,250,,0
48,Kharghar,MSETCL,1X80,80,420,,,,1,,80,,0
49,Kolhapur,PGCIL,1X80,80,420,,,,1,,80,,0
50,Kolhapur-PG,PGCIL,1x125,125,420,,,,,1,125,,0
51,Koradi,MSETCL,1X50,50,420,,1,,,,50,,0
52,Kosamba,GETCO,1X80,80,420,,,,1,,80,,0
53,Lonikhand,MSETCL,1X50,50,420,,1,,,,50,,0
54,Magarawada,PGCIL,1x80,80,420,,,,1,,80,,0
55,Mansar,GETCO,1x63,63,420,80,,1,,,63,,0
56,Mapusa,PGCIL,1X50,50,420,,1,,,,50,,0
57,MB Power,MB Power,1x125,125,420,,,,,1,125,,0
58,Mouda,NTPC,2x80,160,420,,,,2,,160,,0
59,Nagda,MPPTCL,2X50,100,420,,2,,,,100,,0
60,Nagothane,MSETCL,1X80,80,420,,,,1,,80,,0
61,Nandgaonpeth,Rattan India,1x80,80,420,,,,1,,80,,0
62,Navsari,PGCIL,1X63,63,420,,,1,,,63,,0
63,Padghe,MSETCL,1X80,80,420,,,,1,,80,,0
64,Parli-M,MSETCL,1X50,50,420,,1,,,,50,,0
65,Parli-PG,PGCIL,1X63  +  1X125,188,420,,,1,,1,188,,0
66,Pirana-PG,PGCIL,1X125,125,420,,,,,1,125,,0
67,Pithampur,MPPTCL,1x50,50,420,,1,,,,50,,0
68,Pune-PG,PGCIL,1X50,50,420,,1,,,,50,,0
69,Raigarh,PGCIL,1X63  +  1X125,188,420,,,1,,1,188,,0
70,Raigarh-PS(Kotra),PGCIL,1X80,80,420,,,,1,,80,,0
71,Raipur,PGCIL,1X125  +  1X80,205,420,,,,1,1,205,,0
72,Rajgarh,PGCIL,1X125,125,420,,,,,1,125,,0
73,Ranchodpura,GETCO,1X50  +  1X125,175,420,,1,,,1,175,,0
