Sl No,Sub-Station,ID,MVA,Voltage Ratio,Owner ,Normal Tap Position,Present Tap Position,,,
1,ACBIL,1,200,400/132,ACBIL,9,9,,,0
2,Akola(2),1,315,400/220,MEGPTCL,9b,8,,,
3,Akola(2),2,315,400/220,MEGPTCL,9b,8,,,0
4,Alkud,1,500,400/220,MSETCL,9b,9b,,,0
5,Amreli,1,315,400/220,GETCO,9b,9,,,0
6,Amreli,2,315,400/220,GETCO,9b,9,,,1
7,Amreli,3,315,400/220,GETCO,9b,9,MP,,1
8,APL-Mundra,1,315,400/220,APL,9b,9,,,0
9,APL-Mundra,2,315,400/220,APL,9b,9,,,1
10,Asoj,1,500,400/220,GETCO,9,12,,,0
11,Asoj,2,500,400/220,GETCO,9,12,,,1
12,Asoj,3,315,400/220,GETCO,9b,12,,,1
13,Asoj,4,315,400/220,GETCO,9b,12,,,1
14,Astha,1,315,400/220,MPPTCL,9b,9b,,,0
15,Astha,2,315,400/220,MPPTCL,9b,9b,,,1
16,Aurangabad-M(Waluj),3,500,400/220,MSETCL,9,9,,,0
17,Aurangabad-M(Waluj),1,315,400/220,MSETCL,9b,9,,,1
18,Aurangabad-M(Waluj),2,315,400/220,MSETCL,9b,9,,,1
19,Aurangabad-PG,1,315,400/220,PGCIL,9b,9,,,0
20,Aurangabad-PG,2,315,400/220,PGCIL,9b,9,,,1
21,Bableshwar,4,500,400/220,MSETCL,9,9,,,0
22,Bableshwar,3,500,400/220,MSETCL,9,9,,,1
23,Bableshwar,1,315,400/220,MSETCL,9b,9,,,1
24,Bableshwar,2,315,400/220,MSETCL,9b,9,,,1
25,Bachau,1,315,400/220,PGCIL,9b,7,,,0
26,Bachau,2,315,400/220,PGCIL,9b,7,,,1
27,Balco,1,315,400/220,BALCO,9b,9,,,0
28,Balco,2,315,400/220,BALCO,9b,9,,,1
29,Balco,3,315,400/220,BALCO,9b,9,,,1
30,Betul,1,315,400/220,PGCIL,9b,9b,,,0
31,Betul,2,315,400/220,PGCIL,9b,9b,,,1
32,Bhadrawati,1,250,400/220,PGCIL,9b,9b,,,0
33,Bhatapara,1,315,400/220,PGCIL,9b,9b,MP,,0
34,Bhatapara,2,315,400/220,PGCIL,9b,9b,MP,,1
35,Bhilai,1,315,400/220,CSPTCL,9b,9,MP,,0
36,Bhilai,2,315,400/220,CSPTCL,9b,13,,,1
37,Bhilai,3,315,400/220,CSPTCL,9b,13,MP,,1
38,Bhopal-MP,1,315,400/220,MPPTCL,9b,9,MP,,0
39,Bhopal-MP,2,315,400/220,MPPTCL,9b,9,MP,,1
40,Bhopal-MP,3,315,400/220,MPPTCL,9b,9,MP,,1
41,Bhusawal (Khadka),1,315,400/220,MSETCL,9b,9,,,0
42,Bhusawal (Khadka),2,200,400/132,MSETCL,9b,9,,,
43,Bhusawal (Khadka),3,200,400/132,MSETCL,9b,9,,,
44,Bina-MP,1,315,400/220,MPPTCL,9b,9,,,0
45,Bina-MP,2,315,400/220,MPPTCL,9b,9,,,1
46,Bina-MP,3,315,400/220,MPPTCL,9b,9,,,1
47,Bina-PG,1,315,400/220,PGCIL,9b,9b,,,0
