Sr. No.,Name of S/S,Owner,Nos of Reactor,Total MVAR,Rated Voltage,240,330
1,Akola(2),MEGPTCL,3X80,240,800,1,
2,Aurangabad-PG,PGCIL,3X80,240,800,1,
3,Bhopal-BDTCL,BDTCL,3X80,240,800,1,
4,Bilaspur,PGCIL,3X80,240,800,1,
5,Bina-NHPTL,NHPTL,-,-,-,,
6,Bina-PG,PGCIL,3X80  +  3X80,480,800,2,
7,Champa ,PGCIL,3X80,240,800,1,
8,Dharamjaygarh,PGCIL,3X110  +  3X110,660,800,,2
9,Dhule-BDTCL,BDTCL,3X80,240,800,1,
10,Ektuni (Aurangabad(3)),MSETCL,3X80,240,800,1,
11,Gadarwara,NTPC,-,-,-,,
12,Gwalior,PGCIL,3X80,240,800,1,
13,Indore-PG,PGCIL,3X80  +  3X80,480,800,2,
14,Jabalpur-PS,PGCIL,3X80  +  3X80,480,800,2,
15,Kholpaur-PG#,PGCIL,-,-,-,,
16,Koradi(III),MEGPTCL,3X80,240,800,1,
17,Pune-PG(Shikrapur),PGCIL,3X80,240,800,1,
18,Raigarh-PS(Kotra),PGCIL,3X80,240,800,1,
19,Raipur-PS(Durg),PGCIL,3X80,240,800,1,
20,Sasan,SPL,3X80,240,800,1,
21,Satna,PGCIL,3X80  +  3X80,480,800,2,
22,Seoni,PGCIL,3X80,240,800,1,
23,Sipat,NTPC,3X80,240,800,1,
24,Solapur,PGCIL,3X80,240,800,1,
25,Tamnar,PGCIL,3X80,240,800,1,
26,Tiroda,APML,3X80,240,800,1,
27,Vadodora-PS ,PGCIL,3X80,240,800,1,
28,Vindhyachal-PS,PGCIL,3X80,240,800,1,
29,Wardha,PGCIL,3X80  +  3X110,570,800,1,1
