Sl No,Sub-Station,Ckt ID,MVA,Voltage Ratio,Owner ,Normal Tap Position,Present Tap Position,,,
1,Akola(2),1,1500,765/400,MEGPTCL,12,11,,,0
2,Aurangabad-PG,1,1500,765/400,PGCIL,12,14,,,0
3,Aurangabad-PG,2,1500,765/400,PGCIL,12,14,,,1
4,Bhopal-BDTCL,1,1500,765/400,BDTCL,12,11,,,0
5,Bhopal-BDTCL,2,1500,765/400,BDTCL,12,11,,,1
6,Bilaspur,1,1500,765/400,PGCIL,12,12,,,0
7,Bilaspur,2,1500,765/400,PGCIL,12,12,,,1
8,Bilaspur,3,1500,765/400,PGCIL,12,12,,,1
9,Bina-PG,1,1000,765/400,PGCIL,11,11,MP,,0
10,Bina-PG,2,1000,765/400,PGCIL,11,11,MP,,1
11,Champa ,1,1500,765/400,PGCIL,12,12,,,0
12,Champa ,2,1500,765/400,PGCIL,12,12,,,1
13,Champa ,3,1500,765/400,PGCIL,12,12,,,
14,Champa ,4,1500,765/400,PGCIL,12,12,,,
15,Champa ,5,1500,765/400,PGCIL,12,12,,,
16,Champa ,6,1500,765/400,PGCIL,12,12,,,
17,Dharamjaygarh,1,1500,765/400,PGCIL,12,12,,,0
18,Dharamjaygarh,2,1500,765/400,PGCIL,12,12,,,1
19,Dhule-BDTCL,1,1500,765/400,BDTCL,12,13,,,0
20,Dhule-BDTCL,2,1500,765/400,BDTCL,12,13,,,1
21,Ektuni (Aurangabad(3)),1,1500,765/400,MEGPTCL,12,12,,,0
22,Ektuni (Aurangabad(3)),2,1500,765/400,MEGPTCL,12,12,,,
23,Gwalior,1,1500,765/400,PGCIL,12,12,MP,,0
24,Gwalior,2,1500,765/400,PGCIL,12,12,MP,,1
25,Indore-PG,1,1500,765/400,PGCIL,12,12,MP,,0
26,Indore-PG,2,1500,765/400,PGCIL,12,12,MP,,1
27,Jabalpur-PS,1,1500,765/400,PGCIL,12,12,MP,,0
28,Jabalpur-PS,2,1500,765/400,PGCIL,12,12,MP,,1
29,Koradi(III),1,1500,765/400,MEGPTCL,12,11,,,0
30,Koradi(III),2,1500,765/400,MEGPTCL,12,11,,,1
31,Pune-PG(Shikrapur),1,1500,765/400,PGCIL,12,12,,,0
32,Pune-PG(Shikrapur),2,1500,765/400,PGCIL,12,12,,,1
33,Raigarh-PS(Kotra),1,1500,765/400,PGCIL,12,13,,,0
34,Raigarh-PS(Kotra),2,1500,765/400,PGCIL,12,13,,,1
35,Raigarh-PS(Kotra),3,1500,765/400,PGCIL,12,13,,,1
36,Raigarh-PS(Kotra),4,1500,765/400,PGCIL,12,13,,,1
37,Raipur-PS(Durg),1,1500,765/400,PGCIL,12,12,,,0
38,Raipur-PS(Durg),2,1500,765/400,PGCIL,12,12,,,
39,Sasan,1,1000,765/400,SPL,11,11,MP,,0
40,Sasan,2,1000,765/400,SPL,11,11,MP,,1
41,Satna,1,1000,765/400,PGCIL,11,12,MP,,0
42,Satna,2,1000,765/400,PGCIL,11,12,MP,,1
43,Seoni,1,1500,765/400,PGCIL,12,6,MP,,0
44,Seoni,2,1500,765/400,PGCIL,12,6,MP,,1
45,Seoni,3,1500,765/400,PGCIL,12,6,MP,,1
46,Sipat,1,1000,765/400,NTPC,9B,9B,,,0
47,Sipat,2,1000,765/400,NTPC,9B,9B,,,1
48,Solapur,1,1500,765/400,PGCIL,12,12,,,0
49,Solapur,2,1500,765/400,PGCIL,12,12,,,1
50,Tamnar,1,1500,765/400,PGCIL,12,12,,,0
51,Tamnar,2,1500,765/400,PGCIL,12,12,,,1
52,Tamnar,3,1500,765/400,PGCIL,12,12,,,1
53,Tamnar,4,1500,765/400,PGCIL,12,12,,,
54,Tiroda,1,1500,765/400,APML,12,11,,,0
55,Vadodora-PS ,1,1500,765/400,PGCIL,12,12,,,0
56,Vadodora-PS ,2,1500,765/400,PGCIL,12,12,,,1
57,Vindhyachal-PS,1,1500,765/400,PGCIL,12,12,MP,,0
58,Vindhyachal-PS,2,1500,765/400,PGCIL,12,12,MP,,1
59,Vindhyachal-PS,3,1500,765/400,PGCIL,12,12,,,
60,Wardha,1,1500,765/400,PGCIL,12,13,,,0
61,Wardha,2,1500,765/400,PGCIL,12,13,,,1
62,Wardha,3,1500,765/400,PGCIL,12,13,,,1
,,Total,89000,,,,,,,
