Sl No,End-1,End-2,Id,Line Owner,End-1 Owner,End-2 Owner,Km,Conductor Type,SIL,No Load MVAR Generated,End1 LR MVAR,End1 LR S/W,End2 LR MVAR,End2 LR S/W,End1 50 MVAR SLR,End1 50 MVAR NSLR,End1 63 MVAR SLR,End1 63 MVAR NSLR,End1 80  MVAR SLR,End1 80 MVAR NSLR,,End2 50 MVAR SLR,End2 50 MVAR NSLR,End2 63 MVAR SLR,End2 63 MVAR NSLR,End2 80  MVAR SLR,End2 80 MVAR NSLR
1,ACBIL,Bilaspur ,1,WRTS-1,ACBIL,WRTS-1,56,Twin ACSR Moose,517,31.08,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
2,ACBIL,MCCPL,1,WRTS-1,ACBIL,MCCPL,16,Twin ACSR Moose,517,8.88,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
3,Akola,Aurangabad-PG,1,MSETCL,WRTS-1,WRTS-1,178,Twin ACSR Moose,517,98.79,50,-,50,-,0,1,0,0,0,0,,0,1,0,0,0,0
4,Akola,Aurangabad-PG,2,MSETCL,WRTS-1,WRTS-1,178,Twin ACSR Moose,517,98.79,50,-,50,-,0,1,0,0,0,0,,0,1,0,0,0,0
5,Akola,Nandgaonpeth,1,MSETCL,MSETCL,Ratan India,117,Twin ACSR Moose,517,64.935,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
6,Akola,Akola(2),1,MEGPTL,MSETCL,MEGPTL,30,Twin ACSR Moose,517,16.65,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
7,Akola,Akola(2),2,MEGPTL,MSETCL,MEGPTL,30,Twin ACSR Moose,517,16.65,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
8,Akola(2),Nandgaonpeth,1,MEGPTL,MEGPTL,Ratan India,104,Twin ACSR Moose,517,57.72,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
9,Akola(2),Nandgaonpeth,2,MEGPTL,MEGPTL,Ratan India,104,Twin ACSR Moose,517,57.72,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
10,Amreli,Hadala,1,GETCO,GETCO,GETCO,165,Twin ACSR Moose,517,91.575,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
11,Amreli,Chorania,1,GETCO,GETCO,GETCO,164,Twin ACSR Moose,517,91.02,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
12,Amreli,Jetpur,1,GETCO,GETCO,GETCO,96,Twin ACSR Moose,517,53.28,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
13,Amreli,Jetpur,2,GETCO,GETCO,GETCO,96,Twin ACSR Moose,517,53.28,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
14,APL-Mundra,Sami,1,ATIL,APL,ATIL,282,Twin ACSR Moose,517,156.51,-,-,50,-,0,0,0,0,0,0,,0,1,0,0,0,0
15,APL-Mundra,Sami,2,ATIL,APL,ATIL,282,Twin ACSR Moose,517,156.51,-,-,50,-,0,0,0,0,0,0,,0,1,0,0,0,0
