Sl No,End-1,End-2,Id,Line Owner,End-1 Owner,End-2 Owner,Km,Conductor Type,SIL,No Load MVAR Generated,End1 LR MVAR,End1 LR S/W,End2 LR MVAR,End2 LR S/W,End 1 Over Voltage Stage 1,End 1 Over Voltage Stage 2,End 2 Over Voltage Stage 1,End 2 Over Voltage Stage 2,,,,,,,End-1 240 MVAR SLR,End-1 240 MVAR NSLR,End-1 330 MVAR SLR,End-1 330 MVAR NSLR,End-2 240 MVAR SLR,End-2 240 MVAR NSLR,End-2 330 MVAR SLR,End-2 330 MVAR NSLR
1,Akola(2),Ektuni (Aurangabad(3)),2,MEGPTCL,MEGPTCL,MSETCL,219,Quad Bersimis,2194,515,240,Yes,240,-,110 %-5 Sec,150 %-0.15 Sec,110 %-10 Sec,150 %-0.1 Sec,,X,B,Zpu,Z(ohms),,1,0,0,0,0,1,0,0
2,Akola(2),Ektuni (Aurangabad(3)),1,MEGPTCL,MEGPTCL,WRTS-1,219,Quad Bersimis,2194,515,240,Yes,240,-,110 %-7 Sec,150 %-0.1  Sec,110 %-8 Sec,150 %-0.1 Sec,Quad Bersimis,0.0000488,0.0235,0.04556968,266.6851604,,1,0,0,0,0,1,0,0
3,Aurangabad-PG,Wardha,1,WRTS-1,WRTS-1,WRTS-1,348,Hexa Zebra,2470,926,240,-,330,Yes,-,-,-,-,,,,,,,0,1,0,0,0,0,1,0
4,Aurangabad-PG,Wardha,2,WRTS-1,WRTS-1,WRTS-1,348,Hexa Zebra,2470,926,240,-,330,Yes,-,-,-,-,,,,,,,0,1,0,0,0,0,1,0
5,Aurangabad-PG,Wardha,3,WRTS-1,WRTS-1,WRTS-1,370,Hexa Zebra,2470,984,240,-,330,Yes,107 % -5 Sec,150 %-0.1 Sec,109 %-5 Sec,150 %-0.1 Sec,Hexa Zebra,0.0000436,0.0266,0.040485772,236.9328599,,0,1,0,0,0,0,1,0
6,Aurangabad-PG,Wardha,4,WRTS-1,WRTS-1,WRTS-1,370,Hexa Zebra,2470,984,240,-,330,Yes,107 % -6 Sec,150 %-0.1 Sec,109 %-6 Sec,150 %-0.1 Sec,,,,,,,0,1,0,0,0,0,1,0
7,Aurangabad-PG,Solapur-PG,1,WRTS-1,WRTS-1,WRTS-1,279,Hexa Zebra,2470,742,240,Yes,240,Yes,108 % -7 Sec,150 %-0.1 Sec,109 %-7 Sec,150 %-0.1 Sec,,,,,,,1,0,0,0,1,0,0,0
8,Aurangabad-PG,Solapur-PG,2,WRTS-1,WRTS-1,WRTS-1,279,Hexa Zebra,2470,742,240,Yes,240,Yes,108 % -8 Sec,150 %-0.1 Sec,109 %-8 Sec,150 %-0.1 Sec,,,,,,,1,0,0,0,1,0,0,0
9,Bhopal-BDTCL,Indore-PG,1,BDTCL,BDTCL ,WRTS-2,176,Quad Bersimis,2194,414,240,Yes,240,-,108 % -5 Sec,150 %-0.1 Sec,108 % -5 Sec,150 %-0.1 Sec,,,,,,,1,0,0,0,0,1,0,0
10,Bilaspur,Seoni,1,WRTS-1,WRTS-1,WRTS-1,333,Quad Bersimis,2194,783,240,Yes,240,-,108 % -7 Sec,150 %-0.1 Sec,108 % -7 Sec,150 %-0.1 Sec,,,,,,,1,0,0,0,0,1,0,0
